candidate_family,candidate_description,dataset,available,model_family,model,result_dir,evaluation_scope,primary_metric_name,primary_metric,fit_score,ppc_score,ppc_rmse_score,ppc_r2_score,ppc_r2,ppc_rmse,alignment_score,max_r_hat,n_divergent,diagnostics_ok,missing_dataset_count,missing_dataset_penalty,slider_nonheldout_penalty,ready_for_paper,rank
shared_reliability_backup,Current production reliability-backup speaker and slider reduction; only response-space/hierarchy reductions should differ.,combined,True,,,,,sweet_spot_score,0.7469831519812999,0.625,0.7413804342322856,,,0.8551302502515341,0.057369066959299546,0.95,,,True,0.0,0.0,0.0,True,1.0
planned_order_shared_candidate,"Planned-order/usefulness policy as a shared speaker improvement; slider has fitted planned-usefulness variants, production currently has only planned-prefix forward-audit/model code.",combined,False,,,,,sweet_spot_score,0.6897807445323503,0.96875,0.8636592700924295,,,0.9588421169578903,0.079803708833968,0.8,,,False,1.0,0.2,0.0,False,2.0
production_specific_policy,"Production-only response-policy extensions such as bounded-form, sharp-form, or size-sharp.",combined,False,,,,,sweet_spot_score,0.6278111808572782,0.9895833333333334,0.9842224214969854,,,0.9399554177225652,0.031240913809374,0.35,,,False,1.0,0.2,0.0,False,3.0
minimal_greedy_baseline,Older greedy incremental/static baseline family; useful as a fit reference but not the current production-anchor theory.,combined,True,,,,,sweet_spot_score,0.530093656108134,0.4375,0.5859818745946683,,,0.8735045037095565,0.0686600771417171,0.6,,,True,0.0,0.0,0.0,True,4.0
minimal_greedy_baseline,Older greedy incremental/static baseline family; useful as a fit reference but not the current production-anchor theory.,production,True,response_policy,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,models/production/results_bounded_form_fixedeps_pilot,full_sample,loo_elpd,-5654.333872795105,0.40625,0.5366372931892008,0.6253579197117349,0.4479166666666667,0.8250604526047639,0.0537147863976297,0.6,1.01,0.0,True,,,,,
production_specific_policy,"Production-only response-policy extensions such as bounded-form, sharp-form, or size-sharp.",production,True,size_sharp,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,models/production/results_reliabilitybackup_pilot,full_sample,loo_elpd,-5186.86865234375,0.9895833333333334,0.9842224214969854,0.9996948429939707,0.96875,0.9399554177225652,0.031240913809374,0.35,1.01,0.0,True,,,,,
shared_reliability_backup,Current production reliability-backup speaker and slider reduction; only response-space/hierarchy reductions should differ.,production,True,reliability_backup_shared,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,models/production/results_reliabilitybackup_2x2_full,full_sample,loo_elpd,-5218.574770927429,0.875,0.9351043673500395,0.9952087347000791,0.875,0.938831962566982,0.0315102439767805,0.95,1.0,0.0,True,,,,,
minimal_greedy_baseline,Older greedy incremental/static baseline family; useful as a fit reference but not the current production-anchor theory.,slider,True,slider_greedy_incremental,incremental_recursive,models/slider/results_anchored_heldout_pilot,heldout,heldout_elpd,-2765.744140625,0.46875,0.6353264560001359,0.8636761678142253,0.4069767441860465,0.921948554814349,0.0836053678858045,0.6,1.01,0.0,True,,,,,
planned_order_shared_candidate,"Planned-order/usefulness policy as a shared speaker improvement; slider has fitted planned-usefulness variants, production currently has only planned-prefix forward-audit/model code.",slider,True,planned_usefulness_signed_order,planned_usefulness_signed_order_static,models/slider/results_anchored_heldout_pilot,heldout,heldout_elpd,-2764.4097290039062,0.96875,0.8636592700924295,0.9715045866964868,0.7558139534883721,0.9588421169578903,0.079803708833968,0.8,1.01,0.0,True,,,,,
shared_reliability_backup,Current production reliability-backup speaker and slider reduction; only response-space/hierarchy reductions should differ.,slider,True,reliability_backup_shared_logalpha_slider,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,models/slider/results_reliabilitybackup_logalpha_2x2_heldout,heldout,heldout_elpd,-2858.9310302734375,0.375,0.5476565011145316,0.8743827696709237,0.22093023255813954,0.7714285379360861,0.0832278899418186,0.95,1.0,0.0,True,,,,,
