rule,support,parameter_set,order,setting,semantics,metric,mean,variance,groups,mcse,lower_mc95,upper_mc95,estimate,lower,upper
terminal,two,original_grid,neutral,"Completed-utterance baseline
2 orders",Context-fixed,listener_advantage,-4.80159893327207e-19,2.7308496823635074e-37,24,2.1773971792774816e-20,-5.228368780410456e-19,-4.374829086133684e-19,-4.80159893327207e-17,-5.2283687804104564e-17,-4.3748290861336843e-17
terminal,two,original_grid,neutral,"Completed-utterance baseline
2 orders",Context-updating,listener_advantage,0.01140513183316894,2.7164801359610352e-5,24,2.1716609650575e-4,0.01097948628401766,0.011830777382320211,1.140513183316894,1.097948628401766,1.183077738232021
prefix_k0,two,original_grid,neutral,"Global model
2 orders",Context-fixed,listener_advantage,-0.02717928958231966,3.729212417972e-4,24,8.0463203481683e-4,-0.02875636837056067,-0.02560221079407865,-2.717928958231966,-2.875636837056067,-2.560221079407865
prefix_k0,two,original_grid,neutral,"Global model
2 orders",Context-updating,listener_advantage,-0.01838069113970257,3.3124651465769e-4,24,7.5834079055135e-4,-0.01986703908918323,-0.01689434319022192,-1.838069113970257,-1.986703908918323,-1.689434319022192
prefix_k0,four,original_grid,neutral,"Global model
4 utterances",Context-fixed,listener_advantage,0.02257226133192686,7.70579146711137e-5,24,3.6576099007353e-4,0.02185536979138274,0.02328915287247099,2.257226133192686,2.185536979138274,2.328915287247099
prefix_k0,four,original_grid,neutral,"Global model
4 utterances",Context-updating,listener_advantage,0.02771795414582306,7.633012503522109e-5,24,3.6402963915888e-4,0.02700445605307165,0.02843145223857448,2.7717954145823063,2.700445605307165,2.843145223857448
prefix_k0,fifteen,original_grid,neutral,"Global model
15 utterances",Context-fixed,listener_advantage,0.0258863681977212,7.876034875963264e-5,24,3.6977928091847e-4,0.02516160080712099,0.02661113558832141,2.58863681977212,2.516160080712099,2.661113558832141
prefix_k0,fifteen,original_grid,neutral,"Global model
15 utterances",Context-updating,listener_advantage,0.03103646997679781,7.82310260474548e-5,24,3.6853460292706e-4,0.03031414215506076,0.03175879779853485,3.103646997679781,3.0314142155060764,3.1758797798534846
prefix_k0,fifteen,fitted_constants,neutral,"Global model, 15 utterances
Production constants",Context-fixed,listener_advantage,0.01890600076362341,2.3975637677131e-5,24,2.0402051604493e-4,0.01850612055217533,0.01930588097507148,1.890600076362341,1.8506120552175331,1.9305880975071479
prefix_k0,fifteen,fitted_constants,neutral,"Global model, 15 utterances
Production constants",Context-updating,listener_advantage,0.01894291624131498,2.4008842357478113e-5,24,2.0416174465783e-4,0.01854275922178561,0.01934307326084435,1.894291624131498,1.854275922178561,1.9343073260844348
